 0 0 12 2 0 37
ask 0 0 2 3 0 0
asl 0 1 17 1 27 0
asm 0 0 1 3 1 0
asm3 0 3 5 3 2 0
asmail 0 5 37 5 1 0
asmix 0 5 12 6 1 0
asmixer 0 6 9 8 1 0
asmon 0 5 11 8 1 0
asn1c 0 0 10 1 3 0
asn1crypto 0 1 1 0 0 4
asp 0 12 9 6 1 0
aspcud 0 1 10 1 1 0
aspectc++ 2 15 778 22 10 0
aspectj 0 1 4 3 4 0
aspectj-maven-plugin 0 4 3 2 0 1
aspell 0 2 38 13 2 0
aspell-am 0 4 2 3 0 0
aspell-ar 0 4 3 3 0 0
aspell-ar-large 0 4 2 4 0 0
aspell-bn 0 0 1 2 0 0
aspell-br 0 1 3 2 0 0
aspell-cs 0 8 3 3 0 0
aspell-cy 0 3 4 3 0 0
aspell-el 0 3 4 3 0 0
aspell-en 0 0 2 1 0 0
aspell-fa 0 5 3 4 0 0
aspell-fr 0 1 4 3 0 0
aspell-ga 0 4 4 3 0 0
aspell-gu 0 0 2 2 0 0
aspell-he 0 0 3 2 0 0
aspell-hi 0 2 4 2 0 0
aspell-hr 2 9 4 4 0 0
aspell-hsb 1 3 3 4 0 0
aspell-hu 0 0 5 3 0 0
aspell-hy 0 3 2 4 0 0
aspell-is 0 3 4 4 0 0
aspell-it 0 1 5 1 0 0
aspell-kk 0 6 5 3 0 0
aspell-kn 0 0 3 2 0 0
aspell-ku 0 4 3 4 0 0
aspell-ml 0 0 1 2 0 0
aspell-mr 0 2 4 4 0 0
aspell-or 0 3 7 2 0 0
aspell-pa 0 0 3 2 0 0
aspell-pl 0 1 3 5 1 0
aspell-pt 0 2 4 1 0 0
aspell-ro 0 3 3 3 0 0
aspell-sk 0 3 2 2 0 0
aspell-sl 0 0 4 2 0 0
aspell-sv 0 3 2 5 0 0
aspell-ta 0 3 5 3 0 0
aspell-te 0 3 6 2 0 0
aspell-tl 0 5 5 4 0 0
aspell-uz 0 3 3 5 0 0
aspic 0 2 9 3 1 0
asql 0 5 4 3 0 0
assaultcube 0 9 42 4 2 4
assaultcube-data 0 2 10 4 0 0
assertj-core 0 0 1 2 0 0
assimp 27 3 12 5 2 2
assword 0 0 2 1 0 0
asterisk 106 5 223 0 5 129
asterisk-core-sounds 1 0 3 25 0 0
asterisk-espeak 8 0 8 2 1 6
asterisk-flite 8 0 7 2 1 6
asterisk-moh-opsound 0 2 1 5 0 0
asterisk-opus 9 0 13 4 2 6
asterisk-prompt-de 0 7 3 3 0 0
asterisk-prompt-es 0 6 6 3 0 0
asterisk-prompt-es-co 0 2 2 2 0 0
asterisk-prompt-fr-armelle 1 4 3 5 0 0
asterisk-prompt-fr-proformatique 1 6 5 6 0 0
asterisk-prompt-it 0 4 10 4 5 0
asterisk-testsuite 0 8 6 3 0 8
astk 0 4 22 8 0 1
astlib 0 0 13 1 0 0
astral 0 1 0 3 0 0
astrodendro 0 0 2 1 0 0
astroid 0 2 1 1 0 0
astromatic 0 1 4 0 0 0
astromenace 0 0 1 1 1 0
astromenace-data 0 1 3 1 0 0
astrometry-data-2mass 0 1 3 0 0 10
astrometry.net 0 0 78 1 0 0
astroml 0 0 0 1 0 0
astroml-addons 0 0 12 5 0 0
astronomical-almanac 0 2 13 4 2 0
astroplan 0 0 0 3 0 0
astroquery 0 1 0 4 0 100
astroscrappy 0 0 42 1 0 0
astyle 0 0 2 9 1 4
asunder 0 1 1 1 2 0
asused 0 0 3 1 0 0
asylum 0 1 5 6 1 0
asymptote 0 5 32 1 1 0
async-http-client 0 1 4 3 0 0
asyncpg 0 0 5 3 0 0
at 0 2 5 1 2 8
at-at-clojure 0 0 2 1 0 0
at-spi2-atk 0 3 20 7 2 0
at-spi2-core 0 3 24 11 0 0
atanks 0 0 9 2 1 0
atari800 0 9 13 3 1 0
